#city state type lat lng population
Kokomo IN LOCAL 40.46 -86.13 58066
Dayton OH METRO 39.78 -84.20 1525923
Santa_Rosa CA LOCAL 38.45 -122.71 619403
Ocala FL LOCAL 29.18 -82.15 250449
El_Centro CA LOCAL 32.79 -115.56 210521
Indianapolis IN METRO 39.78 -86.15 2245849
Arecibo PR LOCAL 18.45 -66.74 123499
San_Antonio TX METRO 29.46 -98.52 2295561
Kingsport TN LOCAL 36.52 -82.55 177929
Ames IA LOCAL 42.03 -93.62 72601
Blacksburg VA LOCAL 37.23 -80.43 116880
Pocatello ID LOCAL 42.87 -112.46 89660
Fresno CA METRO 36.78 -119.79 1097741
Dover NH LOCAL 43.19 -70.88 133206
Springfield MA METRO 42.12 -72.54 752378
Flagstaff AZ LOCAL 35.19 -111.62 96273
Modesto CA LOCAL 37.64 -121.00 642851
DeKalb IL LOCAL 41.93 -88.75 91965
Salisbury MD LOCAL 38.38 -75.59 108982
Albany OR LOCAL 44.63 -123.10 93312
Youngstown OH LOCAL 41.10 -80.65 418258
Newport_News VA LOCAL 37.11 -76.52 179582
Copperas_Cove TX LOCAL 31.12 -97.91 69775
Phoenix AZ METRO 33.57 -112.09 6890782
Cheyenne WY LOCAL 41.13 -104.79 82840
Pottstown PA LOCAL 40.25 -75.64 338314
Hickory NC LOCAL 35.74 -81.32 241934
Hanford CA LOCAL 36.33 -119.65 163193
Bend OR LOCAL 44.06 -121.31 138819
Gainesville FL LOCAL 29.68 -82.35 213432
Santa_Barbara CA LOCAL 34.43 -119.72 545020
Lafayette IN LOCAL 40.40 -86.86 217832
South_Lyon MI LOCAL 42.46 -83.65 1211745
Omaha NE METRO 41.26 -96.05 914190
Somerset NJ LOCAL 40.51 -74.50 187896
Dallas TX METRO 32.79 -96.77 8572511
Sebring FL LOCAL 27.48 -81.45 73826
Yakima WA LOCAL 46.59 -120.55 180011
Elizabethtown KY LOCAL 37.70 -85.88 110107
Cedar_Rapids IA LOCAL 41.97 -91.68 235923
San_Jose CA METRO 37.30 -121.85 3021648
Norfolk VA LOCAL 36.89 -76.26 244300
Sarasota FL METRO 27.34 -82.54 1220775
Boise ID LOCAL 43.60 -116.23 832785
Grand_Island NE LOCAL 40.92 -98.36 51250
Mission_Viejo CA METRO 33.61 -117.66 3635641
Sacramento CA METRO 38.57 -121.47 3391443
Midland TX LOCAL 32.02 -102.11 140111
Pueblo CO LOCAL 38.27 -104.61 175568
The_Villages FL LOCAL 28.90 -81.99 126635
Fond_du_Lac WI LOCAL 43.77 -88.44 50746
Logan UT LOCAL 41.74 -111.84 152107
Pittsburgh PA METRO 40.44 -79.98 2128287
Moline IL LOCAL 41.48 -90.49 107054
